Depth sed [m]	Age [ka BP]	Foram/sed [#/g]	Foram benth [#/g]	Foram benth calc [#/g]	Foram benth agg [#/g]	Foram plankt [#/g]	I. helenae [#/g]	I. norcrossi [#/g]	C. neoteretis [#/g]	C. reniforme [#/g]	E. vitrea [#/g]	E. arctica [#/g]	S. horvathi [#/g]	E. clavatum [#/g]	E. albiumbilicatum [#/g]	E. frigidum [#/g]	E. hallandense [#/g]	S. feylingi [#/g]	S. concava [#/g]	S. fusiformis [#/g]	C. lobatulus [#/g]	B. frigida [#/g]	E. pulchella [#/g]	P. bulloides [#/g]	Q. stalkeri [#/g]	Q. seminulum [#/g]	A. gallowayi [#/g]	M. barleeanus [#/g]	C. arctica [#/g]	R. arctica [#/g]	N. labradorica [#/g]	N. iridea [#/g]	B. elegantissima [#/g]	M. subrotunda [#/g]	G. oculus [#/g]	P. williamsoni [#/g]	Lagena sp. [#/g]	Sagrina sp. [#/g]	T. trihedra [#/g]	T. tricarinata [#/g]	Polymorphina sp. [#/g]	T. fluens [#/g]	B. aff. albatrossi [#/g]	G. glacialis [#/g]	G. arctica [#/g]	H. nivea [#/g]	Fissurina sp. [#/g]	D. pauperata [#/g]	Ammonia sp. [#/g]	Florilus sp. [#/g]
1.00	2.7151	47.7680	47.1545	13.4978	33.6568	0.6135	0.0000	0.1753	2.0159	7.1871	0.0000	0.4382	0.4382	1.3147	0.1753	0.0000	0.0000	0.6135	0.0876	0.0000	0.0000	0.5259	0.0000	0.0000	0.0000	0.0000	0.0000	0.1753	0.0000	0.0876	0.0000	0.0000	0.1753	0.0876	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1.05	2.8380	37.7034	37.3395	11.4275	25.9120	0.3639	0.0000	0.5095	0.8007	3.5665	0.0000	0.2911	0.0728	1.6013	0.2911	0.0000	0.0000	1.3829	0.2911	0.0000	0.0000	0.3639	0.0728	0.0000	0.0000	0.0000	0.0000	0.8007	0.0000	0.0000	0.5823	0.0728	0.5823	0.0000	0.0000	0.0000	0.1456	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1.10	2.9610	91.5949	90.3695	34.9990	55.3705	1.2253	0.0000	0.9956	3.4463	18.3037	0.5361	0.9190	2.0678	3.8292	0.1532	0.0000	0.0000	1.1488	0.9956	0.0000	0.3063	1.3785	0.0766	0.0000	0.0000	0.0000	0.1532	0.0000	0.0000	0.0000	0.0000	0.0000	0.3829	0.1532	0.0000	0.0000	0.1532	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1.15	3.0856	40.0255	39.9459	8.5939	31.3520	0.0796	0.0000	0.0000	1.1140	2.8646	0.0000	0.2387	1.4323	0.4774	0.1591	0.0000	0.0000	1.1140	0.2387	0.0000	0.1591	0.2387	0.0796	0.0000	0.0000	0.0000	0.0000	0.1591	0.0000	0.0000	0.0000	0.0000	0.2387	0.0000	0.0000	0.0000	0.0000	0.0000	0.0796	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1.20	3.2103	30.1919	29.8644	7.5316	22.3328	0.3275	0.0000	0.0000	1.6373	1.7683	0.3930	0.1965	1.8338	0.8514	0.0000	0.0000	0.0000	0.0655	0.0000	0.0000	0.0655	0.3930	0.0000	0.0000	0.0000	0.0000	0.0000	0.1310	0.0000	0.0000	0.0000	0.0655	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1310	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1.25	3.3350	28.6310	28.5568	4.3762	24.1806	0.0742	0.0000	0.0000	1.0384	0.7417	0.0742	0.0000	0.1483	1.0384	0.0000	0.0000	0.0000	0.3709	0.0000	0.0000	0.0000	0.5192	0.0742	0.0000	0.0000	0.0000	0.0000	0.2225	0.0000	0.0742	0.0742	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1.30	3.4598	36.1791	35.7379	4.2650	31.4729	0.4412	0.0000	0.0735	1.0295	0.8824	0.0000	0.0735	0.1471	1.1030	0.0000	0.0000	0.0000	0.2941	0.0735	0.0000	0.0000	0.2206	0.0735	0.0000	0.0000	0.0000	0.0000	0.1471	0.0000	0.0000	0.0000	0.0735	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0735	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1.35	3.5845	38.2851	37.9003	11.8318	26.0685	0.3848	0.0000	0.0962	1.8277	1.7315	0.0000	1.3467	0.6734	3.6554	0.0000	0.0000	0.0000	0.4810	0.0962	0.0000	0.0000	0.8657	0.0000	0.0000	0.0000	0.0962	0.0000	0.0962	0.0000	0.0000	0.1924	0.2886	0.2886	0.0962	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1.40	3.7092	39.1673	39.0238	8.6082	30.4156	0.1435	0.0000	0.0000	1.0043	2.4390	0.0000	0.5739	3.0129	0.5739	0.1435	0.0000	0.0000	0.0000	0.1435	0.0000	0.0717	0.0717	0.0000	0.0000	0.0000	0.0000	0.0717	0.0000	0.0000	0.0000	0.2152	0.0000	0.1435	0.0000	0.0000	0.0000	0.0717	0.0000	0.0717	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1.45	3.8340	61.5718	61.4102	7.6763	53.7339	0.1616	0.0000	0.0000	0.4848	1.9393	0.0808	0.4040	0.9696	1.6969	0.0000	0.0000	0.0000	1.2120	0.1616	0.0000	0.0000	0.0808	0.0000	0.0000	0.0000	0.0000	0.0000	0.2424	0.0000	0.0000	0.1616	0.0000	0.0808	0.0000	0.0000	0.0808	0.0808	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
