Depth sed [m]	Age [ka BP]	TOC [%]	2000-63 µm [%]	SR [cm/ka]	MAR [g/cm**2/ka]	Acc rate TOC [g/cm**2/ka]	IP25/sed [µg/g]	IP25/TOC [µg/g]	Acc rate IP25 [µg/cm**2/ka]	Brassicasterol/sed [µg/g]	Brassicasterol/TOC [µg/g]	Acc rate brassicasterol [µg/cm**2/ka]	Dinosterol/sed [µg/g]	Dinosterol/TOC [µg/g]	Acc rate dinosterol [µg/cm**2/ka]	C25 HBI (Z) triene/sed [µg/g]	C25 HBI (Z) triene/TOC [µg/g]	Acc rate C25 HBI (Z) triene [µg/cm**2/ka]	HBI TR25	PBIP25	PDIP25	P(III)IP25
7.50	7.587	0.80	2.115	112.360	73.613	0.591	0.005	0.61	0.36	0.12	14.36	8.48	0.11	13.71	8.10	0.000	0.06	0.04	0.639	0.400	0.467	0.910
7.55	7.632	0.89																				
7.60	7.677	0.85	0.435	112.360	61.403	0.520	0.003	0.36	0.19	0.06	7.43	3.87	0.07	8.02	4.17	0.000	0.05	0.03	0.686	0.430	0.466	0.876
7.65	7.722	0.87																				
7.70	7.767	0.56	0.771	114.943	84.978	0.474	0.003	0.55	0.26	0.05	8.18	3.87	0.05	8.52	4.04	0.000	0.05	0.02	0.585	0.515	0.561	0.919
7.75	7.813	0.32																				
7.80	7.859	0.17	17.452	109.890	111.343	0.185	0.005	3.31	0.56	0.03	15.19	2.81	0.03	20.18	3.39	0.000	0.18	0.03	0.616	0.756	0.763	0.948
7.85	7.899	0.94																				
7.90	7.938	0.92	0.660	112.360	83.191	0.763	0.007	0.87	0.60	0.03	2.87	2.19	0.05	5.69	3.90	0.001	0.06	0.04	0.645	0.811	0.750	0.934
7.95	7.978	0.96																				
8.00	8.012	0.83	1.422	120.482	74.553	0.616	0.007	0.82	0.50	0.06	6.69	4.12	0.06	7.46	4.60	0.000	0.05	0.03	0.510	0.656	0.682	0.947
8.05	8.046	0.53																				
8.10	8.080	0.45	1.323	117.647	97.507	0.441	0.007	1.52	0.67	0.10	22.77	10.04	0.11	23.66	10.44	0.001	0.12	0.05	0.630	0.512	0.558	0.928
8.15	8.114	0.47																				
8.20	8.148	0.63	13.624	119.048	84.967	0.537	0.007	1.07	0.58	0.05	8.08	4.34	0.07	11.30	6.07	0.000	0.08	0.04	0.651	0.675	0.650	0.933
8.25	8.182	0.69																				
8.30	8.216	0.61	11.246	120.482	91.882	0.558	0.008	1.27	0.71	0.05	7.50	4.18	0.07	11.55	6.44	0.001	0.09	0.05	0.650	0.726	0.683	0.933
8.35	8.251	0.78																				
8.40	8.286	0.75	0.721	119.048	78.132	0.585	0.012	1.56	0.91	0.08	11.24	6.58	0.14	18.75	10.97	0.001	0.12	0.07	0.688	0.685	0.619	0.926
8.45	8.319	0.76																				
8.50	8.352	0.35	1.323	120.482	89.430	0.317	0.005	1.38	0.44	0.04	10.96	3.47	0.05	13.49	4.27	0.000	0.09	0.03	0.617	0.664	0.667	0.939
8.55	8.379	0.57																				
8.60	8.419	0.99	1.095	116.279	74.990	0.742	0.013	1.31	0.97	0.08	8.20	6.08	0.15	15.04	11.16	0.001	0.08	0.06	0.613	0.715	0.631	0.941
8.65	8.452	0.87																				
8.70	8.486	0.89	1.267	116.279	91.195	0.807	0.017	1.98	1.60	0.08	9.57	7.73	0.08	9.05	7.30	0.001	0.10	0.08	0.602	0.764	0.811	0.951
8.75	8.521	0.93																				
8.80	8.555	0.88	2.321	119.048	79.966	0.704	0.013	1.51	1.06	0.20	22.23	15.65	0.15	17.45	12.29	0.001	0.07	0.05	0.647	0.516	0.629	0.953
8.85	8.590	0.83																				
8.90	8.624	0.92		123.457	106.987	0.981	0.015	1.68	1.65	0.17	19.09	18.72	0.13	14.55	14.27	0.001	0.11	0.11	0.653	0.580	0.694	0.940
8.95	8.659	0.90																				
9.00	8.693	0.80	1.289	121.951	103.383	0.823	0.009	1.15	0.95	0.12	15.00	12.34	0.10	12.08	9.94	0.001	0.07	0.06	0.680	0.546	0.651	0.943
9.05	8.728	0.81																				
9.10	8.762	0.87		117.647	102.997	0.894	0.011	1.32	1.18	0.23	26.14	23.37	0.13	15.03	13.44	0.001	0.08	0.07	0.721	0.442	0.632	0.944
9.15	8.797	0.81																				
9.20	8.831	0.58		111.111	87.158	0.509	0.008	1.32	0.67	0.18	30.09	15.32	0.14	24.73	12.59	0.001	0.09	0.04	0.682	0.408	0.511	0.938
9.25	8.865	0.38																				
9.30	8.899	0.26	9.161	121.951	124.024	0.323	0.004	1.35	0.44	0.05	21.06	6.81	0.05	18.95	6.13	0.000	0.07	0.02	0.567	0.501	0.583	0.947
9.35	8.932	0.29																				
9.40	8.965	0.32		117.647	110.926	0.353	0.004	1.28	0.45	0.05	17.16	6.06	0.05	15.36	5.43	0.000	0.07	0.02	0.579	0.539	0.621	0.949
9.45	8.998	0.39																				
9.50	9.033	0.55		123.457	121.621	0.669	0.007	1.21	0.81	0.13	24.07	16.11	0.16	28.44	19.04	0.001	0.11	0.07	0.690	0.440	0.454	0.916
9.55	9.067	0.70																				
9.60	9.101	0.66	0.601	117.647	81.782	0.543	0.007	1.00	0.54	0.15	23.27	12.64	0.21	31.55	17.14	0.001	0.19	0.10	0.735	0.402	0.382	0.840
9.65	9.134	0.71																				
9.70	9.168	0.64		117.647	101.775	0.649	0.004	0.70	0.45	0.11	17.94	11.65	0.18	27.91	18.12	0.001	0.09	0.06	0.700	0.379	0.329	0.882
9.75	9.201	0.60																				
9.80	9.235	0.54		120.482	100.101	0.541	0.004	0.82	0.44	0.13	24.40	13.20	0.16	29.12	15.76	0.001	0.17	0.09	0.634	0.346	0.356	0.832
9.85	9.270	0.57																				
9.90	9.304	0.53	1.878	117.647	102.552	0.542	0.005	0.90	0.49	0.10	18.96	10.28	0.14	26.20	14.20	0.000	0.06	0.03	0.601	0.428	0.404	0.934
9.95	9.338	0.49																				
10.00	9.371	0.50		107.527	100.769	0.503	0.005	0.99	0.50	0.08	16.33	8.22	0.15	29.49	14.84	0.000	0.05	0.02	0.581	0.487	0.396	0.955
10.05	9.404	0.48																				
10.10	9.440	0.47	2.829				0.005	1.07		0.08	16.45		0.16	34.53		0.000	0.05		0.573	0.506	0.379	0.955
10.15	9.476	0.41																				
10.20	9.512	0.38	0.551				0.003	0.87		0.06	16.90		0.14	37.10		0.000	0.06		0.599	0.445	0.314	0.939
10.25	9.547	0.38																				
10.30	9.583	0.36	1.533				0.003	0.93		0.06	17.24		0.06	17.04		0.000	0.08		0.612	0.459	0.518	0.925
10.35	9.618	0.36																				
10.40	9.654	0.36	18.615				0.003	0.77		0.04	10.02		0.04	11.08		0.000	0.05		0.523	0.546	0.576	0.941
10.45	9.691	0.34																				
10.50	9.727	0.26	14.151				0.002	0.88		0.03	12.83		0.04	15.10		0.000	0.06		0.533	0.519	0.534	0.932
10.55	9.763	0.32																				
10.60	9.799	0.15	20.557				0.002	1.22		0.03	20.31		0.02	12.91		0.000	0.08		0.621	0.485	0.650	0.942
10.65	9.835	0.11																				
10.70	9.870	0.12	34.707				0.002	1.39		0.02	14.09		0.01	9.81		0.000	0.12		0.654	0.608	0.736	0.923
10.75	9.906	0.19																				
10.80	9.942	0.18	17.326				0.003	1.73		0.03	16.18		0.02	14.25		0.000	0.08		0.436	0.627	0.705	0.957
10.85	9.979	0.16																				
10.90	10.016	0.17	10.343				0.001	0.66		0.02	8.99		0.01	6.49		0.000	0.11		0.639	0.537	0.668	0.855
10.95	10.053	0.19																				
11.00	10.088	0.17	2.942				0.003	1.60		0.03	18.13		0.02	13.90		0.000	0.15		0.506	0.580	0.693	0.917
11.05	10.123	0.12																				
11.10	10.158	0.28	26.553				0.003	0.92		0.03	11.81		0.04	14.47		0.000	0.07		0.526	0.550	0.555	0.933
11.15	10.194	0.22																				
11.20	10.229	0.10	59.837				0.000	0.44		0.00	3.24		0.00	1.15		0.000	0.09		0.635	0.682	0.883	0.833
11.25	10.265	0.11																				
11.30	10.300	0.09	63.600				0.001	1.37		0.01	5.67		0.01	14.73		0.000	0.12		0.669	0.791	0.646	0.918
11.35	10.335	0.07																				
11.40	10.370	0.07	28.498				0.000	0.00		0.00	0.00		0.00	0.00		0.000	0.00		0.000	1.000	1.000	1.000
11.45	10.404	0.08					0.002	2.07		0.00	0.00		0.00	0.00		0.000	0.00		0.000	1.000	1.000	1.000
